USDA Plants symbol,Genus,Species,USDA citation,common name
ALVIF,Alnus,viridis spp. fruticosa,Alnus viridis (Chaix) DC. ssp. fruticosa (Rupr.) Nyman,Siberian alder
BENA,Betula,nana,Betula nana L.,dwarf birch
CAAQ,Carex,aquatilis,Carex aquatilis Wahlenb.,water sedge
DROC ,Dryas,octopetala,Dryas octopetala L.,eightpetal mountain-avens
ERVA4,Eriophorum,vaginatum,Eriophorum vaginatum L.,tussock cottongrass
IRSE,Iris,setosa,Iris setosa Pall. ex Link,beachhead iris
LEPA11,Ledum,palastre,Ledum palustre L.,marsh labrador tea. 
PEFR5,Petasites,frigidus,Petasites frigidus (L.) Fr.,arctic sweet coltsfoot
RUCH,Rubus,chamaemorus,Rubus chamaemorus L.,cloud berry
SAAL,Salix,alaxensis,Salix alaxensis (Andersson) Coville,feltleaf willow
SAGL,Salix,glauca,Salix glauca L.,grayleaf willow
SAPU15,Salix,pulchra,Salix pulchra Cham.,tealeaf willow
SARI4,Salix,richardsonii,Salix richardsonii Hook.,Richardson's willow
VAUL,Vaccinium,uliginosum,Vaccinium uliginosum L.,bog blueberry
VAVI,Vaccinium,vitus-idaea,Vaccinium vitis-idaea L.,lignon berry
